"brand","company","category","product_name_original","model_original","specifications_original","power_original","voltage_original","frequency_original","water_tank_capacity_original","unit_size_original","soleplate_size_original","burst_steam_rate_original","spray_rate_original","continuous_steam_rate_original","continuous_steam_duration_original","steam_ready_time_original","packing_details_original","giftbox_size_original","carton_measurement_original","gross_net_weight_original","loading_quantity_original","certification_marks_original","image_path","slug","source_page"
"SHANWU","宁波山雾科技有限公司","Ironing Equipment","STEAM BRUSH","M8025","Steam lock switch
Safty: auto shut-off in 8 minutes when not used
Soleplate: stainless steel plate
High accurate temperature control
Overheat safety protection circuit","1600W","220-240V/100-127V","50/60Hz","350ml","265x175x155mm","142x78mm","","","15-30g/min","15 minutes","30s","10pcs/Carton","215x160x275mm","82.0x44.3x29.0cm","13/12Kgs","20'-2800pcs
40'-5600pcs
40HQ-6300pcs","CE
GS
CB
EMC
LVD
RoHS
REACH
ETL","/catalog/ironing-2026/shanwu-m8025.webp","shanwu-m8025","3"
"SHANWU","宁波山雾科技有限公司","Ironing Equipment","STEAM BRUSH","M8022","Steam lock switch
Safty: auto shut-off in 8 minutes when not used
Soleplate: stainless steel plate
High accurate temperature control
Overheat safety protection circuit","1600W","220-240V/100-127V","50/60Hz","350ml","265x175x155mm","142x78mm","","","15-30g/min","15 minutes","30s","10pcs/Carton","215x160x275mm","82.0x44.3x29.0cm","13/12Kgs","20'-2800pcs
40'-5600pcs
40HQ-6300pcs","CE
GS
CB
EMC
LVD
RoHS
REACH
ETL","/catalog/ironing-2026/shanwu-m8022.webp","shanwu-m8022","4"
"SHANWU","宁波山雾科技有限公司","Ironing Equipment","STEAM BRUSH","M8023","Steam lock switch
Safty: auto shut-off in 8 minutes when not used
Soleplate: stainless steel plate
High accurate temperature control
Overheat safety protection circuit","1600W","220-240V/100-127V","50/60Hz","350ml","265x175x155mm","142x78mm","","","15-30g/min","15 minutes","30s","10pcs/Carton","215x160x275mm","82.0x44.3x29.0cm","13/12Kgs","20'-2800pcs
40'-5600pcs
40HQ-6300pcs","CE
GS
CB
EMC
LVD
RoHS
REACH
ETL","/catalog/ironing-2026/shanwu-m8023.webp","shanwu-m8023","5"
"SHANWU","宁波山雾科技有限公司","Ironing Equipment","ELECTRIC IRON","M8008","Dry/spray/steam/vertical burst of steam/self-cleaning
Optional features: anti-calc/anti-drip/auto shut-off
Soleplate: Non-Stick coating/Ceramic coating/Nano Ceramic coating
High accurate temperature control
Overheat safety protection circuit","1600W-3200W","220-240V/100-127V","50/60Hz","500ml","310x130x160mm","236x130mm","0.8-1.0g/time","0.8-1.0g/time","15-35g/min","","","10pcs/Carton","320x135x170mm","69.5x32.8x35.5cm","16/15Kgs","20'-3300pcs
40'-7100pcs
40HQ-8300pcs","CE
GS
CB
EMC
LVD
RoHS
REACH
ETL","/catalog/ironing-2026/shanwu-m8008.webp","shanwu-m8008","6"
"SHANWU","宁波山雾科技有限公司","Ironing Equipment","ELECTRIC IRON","M8006","Dry/spray/steam/vertical burst of steam/self-cleaning
Optional features: anti-calc/anti-drip/auto shut-off
Soleplate: Ceramic coating/Nano Ceramic coating/anodic oxidation
High accurate temperature control
Overheat safety protection circuit","1600W-3200W","220-240V/100-127V","50/60Hz","350ml","300x125x160mm","245x125mm","0.8-1.0g/time","0.8-1.0g/time","15-35g/min","","","10pcs/Carton","320x135x170mm","69.5x32.8x35.5cm","16.8/16Kgs","20'-3300pcs
40'-7100pcs
40HQ-8300pcs","CE
GS
CB
EMC
LVD
RoHS
REACH
ETL","/catalog/ironing-2026/shanwu-m8006.webp","shanwu-m8006","7"
"SHANWU","宁波山雾科技有限公司","Ironing Equipment","ELECTRIC IRON","M8009","Dry/spray/steam/vertical burst of steam/self-cleaning
Optional features: anti-calc/anti-drip/auto shut-off
Soleplate: Non-Stick coating/Ceramic coating/Nano Ceramic coating
High accurate temperature control
Overheat safety protection circuit","1600W-3200W","220-240V/100-127V","50/60Hz","450ml","300x12.5x150mm","240x12.5mm","0.8-1.0g/time","0.8-1.0g/time","15-30g/min","","","10pcs/Carton","315x125x159mm","65.5x32.6x34.0cm","16/15Kgs","20'-3380pcs
40'-7500pcs
40HQ-8800pcs","CE
GS
CB
EMC
LVD
RoHS
REACH
ETL","/catalog/ironing-2026/shanwu-m8009.webp","shanwu-m8009","8"
"SHANWU","宁波山雾科技有限公司","Ironing Equipment","ELECTRIC IRON","M8018","Dry/spray/steam/vertical burst of steam/self-cleaning
Optional features: anti-calc/anti-drip/auto shut-off
Soleplate: Non-Stick coating/Ceramic coating/Nano Ceramic coating
High accurate temperature control
Overheat safety protection circuit","1600W-3200W","220-240V/100-127V","50/60Hz","500ml","310x130x155mm","236x130mm","0.8-1.0g/time","0.8-1.0g/time","15-35g/min","","","10pcs/Carton","320x135x170mm","69.5x32.8x35.5cm","16/15Kgs","20'-3300pcs
40'-7100pcs
40HQ-8300pcs","CE
GS
CB
EMC
LVD
RoHS
REACH
ETL","/catalog/ironing-2026/shanwu-m8018.webp","shanwu-m8018","9"
"SHANWU","宁波山雾科技有限公司","Ironing Equipment","ELECTRIC IRON","M8016","Dry/spray/steam/vertical burst of steam/self-cleaning
Optional features: anti-calc/anti-drip/auto shut-off
Soleplate: Non-Stick coating/Ceramic coating/Nano Ceramic coating
High accurate temperature control
Overheat safety protection circuit","1600W-3200W","220-240V/100-127V","50/60Hz","500ml","310x135x173mm","247x135mm","0.8-1.0g/time","0.8-1.0g/time","15-35g/min","","","10pcs/Carton","320x140x190mm","71.8x32.8x39.6cm","16/15KG","20'-3200pcs
40'-6400pcs
40HQ-6700pcs","CE
GS
CB
EMC
LVD
RoHS
REACH
ETL","/catalog/ironing-2026/shanwu-m8016.webp","shanwu-m8016","10"
"SHANWU","宁波山雾科技有限公司","Ironing Equipment","ELECTRIC IRON","M8019","Dry/spray/steam/vertical burst of steam/self-cleaning
Optional features: anti-calc/anti-drip/auto shut-off
Soleplate: Non-Stick coating/Ceramic coating/Nano Ceramic coating
High accurate temperature control
Overheat safety protection circuit","1600W-3200W","220-240V/100-127V","50/60Hz","450ml","300x12.5x150mm","240x12.5mm","0.8-1.0g/time","0.8-1.0g/time","15-30g/min","","","10pcs/Carton","315x125x159mm","65.5x32.6x34.0cm","16/15Kgs","20'-3380pcs
40'-7500pcs
40HQ-8800pcs","CE
GS
CB
EMC
LVD
RoHS
REACH
ETL","/catalog/ironing-2026/shanwu-m8019.webp","shanwu-m8019","11"
"SHANWU","宁波山雾科技有限公司","Ironing Equipment","ELECTRIC IRON","M8001","Dry/spray/steam/vertical burst of steam/self-cleaning
Soleplate: Non-Stick teflon coating
High accurate temperature control
Overheat safety protection circuit","1600W-2000W","220-240V/100-127V","50/60Hz","250ml","271x110x130mm","215x110mm","0.5-0.8g/time","0.5-0.8g/time","10-20g/min","","","10pcs/Carton","280x116x140mm","59.5x28.5x30.0cm","8.4/9.1Kgs","20'-5280pcs
40'-11200pcs
40HQ-12800pcs","CE
GS
CB
EMC
LVD
RoHS
REACH
ETL","/catalog/ironing-2026/shanwu-m8001.webp","shanwu-m8001","12"
