"brand","company","category","source_section","product_name_original","model_original","specifications_original","voltage_hertz_power_original","product_size_original","packing_information_original","loading_quantity_original","image_path","slug","source_page"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Coffee Machine","1.5L Drip Coffee Machine","YCM52105","With removable funnel
With permanent nylon filter
Anti- crip feature
Keep warm function
With tank with single water gauge
On/offswitch with light indicator","220-240V~50/60Hz 750-900W","","","1284 pcs / 20' GP
2664 pcs / 40' GP
2870 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-ycm52105.webp","shanwu-ycm52105","42"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Coffee Machine","1.5L Drip Coffee Machine","YCM52105A","With removable funnel
With permanent nylon fi ter
Anti- drip feature
Keep warm function
With tank witn single water gauge
On/off switch with light inclicator","220-240V~50/60Hz 750-900W","","","1284 pcs / 20' GP
2664 pcs / 40' GP
2870 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-ycm52105a.webp","shanwu-ycm52105a","42"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Coffee Machine","240ml Espresso Coffee Machine","YCM52101","Innovative brewing system
3.5bar pressure
Incependent thermostat
Overheating protection covice","220-240V~50/60Hz 750-900W","","","1284 pcs / 20' GP
2664 pcs / 40' GP
2870 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-ycm52101.webp","shanwu-ycm52101","43"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Coffee Machine","240ml Espresso Coffee Machine","YCM52102","Innovative brewing system
3.5bar pressure
Independent thermostat
Overheating protection devicc","220-240V~50/60Hz 750-900W","","","1284 pcs / 20' GP
2664 pcs / 40' GP
2870 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-ycm52102.webp","shanwu-ycm52102","43"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Coffee Machine","240ml Espresso Coffee Machine","YCM52103","nnovative brewing system
3.5bar pressure
ndependent thermostat
Overheating protection device
Led light in front","220-240V~50/60Hz 750-900W","","","1284 pcs / 20' GP
2664 pcs / 40' GP
2870 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-ycm52103.webp","shanwu-ycm52103","44"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Coffee Machine","240ml Espresso Coffee Machine","YCM52103A","Innovative brewing system
3.5bar prossure
Incependent thermostat
Overheating protection device
Led light in front","220-240V~50/60Hz 750-900W","","","1284 pcs / 20' GP
2664 pcs / 40' GP
2870 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-ycm52103a.webp","shanwu-ycm52103a","44"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Electric Kettle","1.7L 2-in-1 combined tea maker","KE82173A","1.7L 2-in-1 combined tea maker
Co or panel
360° rotation
Stainless steelinner cup
Stainless steel tea filter
Manualid opening
Boi dry protection
Cordi-storage","220-240V~50/60Hz 1850-2200W","","","1464 pcs / 20' GP
3040 pcs / 40' GP
3564 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-ke82173a.webp","shanwu-ke82173a","45"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Electric Kettle","1.7L Stainless Steel Kettle","KE82117","360°rotation
Automaticlic-opening
Boi dry protection
Water gauge
Cord-storage
Wihremovable filler","220-240V~50/60Hz 1850-2200W","","","3060 pcs / 20' GP
6348 pcs / 40' GP
7440 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-ke82117.webp","shanwu-ke82117","46"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Electric Kettle","1.7L Stainless Steel Kettle","KE82117A","360rotation
Automaticlc-opening
Boi dry protection
Water gauge
Cord-storage
With removablefller","220-240V~50/60Hz 1850-2200W","","","3060 pcs / 20' GP
6348 pcs / 40' GP
7440 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-ke82117a.webp","shanwu-ke82117a","46"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Electric Kettle","1.7L Stainless Steel Kettle","KE82118","360°rotation
Automatic lid-opening
Boil dry protection
Water gauge
Cord-storage
With removablefilter
3060p0s/20'GP
6348ncs/40GP","220-240V~50/60Hz 1850-2200W","","","3060 pcs / 20' GP
6348 pcs / 40' GP
7440 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-ke82118.webp","shanwu-ke82118","46"
